instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,tempkelvin,atemp,hum,heatindex,windspeed,casual,registered,cnt,logcnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,282.99,0.2879,0.81,0.468,0.0,3,13,16,2.833
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,282.17,0.2727,0.8,0.452,0.0,8,32,40,3.714
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,282.17,0.2727,0.8,0.452,0.0,5,27,32,3.497
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,282.99,0.2879,0.75,0.444,0.0,3,10,13,2.639
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,282.99,0.2879,0.75,0.444,0.0,0,1,1,0.693
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,282.99,0.2576,0.75,0.444,0.0896,0,1,1,0.693
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,282.17,0.2727,0.8,0.452,0.0,2,0,2,1.099
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,281.35,0.2576,0.86,0.464,0.0,1,2,3,1.386
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,282.99,0.2879,0.75,0.444,0.0,1,7,8,2.197
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,286.27,0.3485,0.76,0.496,0.0,8,6,14,2.708
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,288.73,0.3939,0.76,0.532,0.2537,12,24,36,3.611
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,287.91,0.3333,0.81,0.54,0.2836,26,30,56,4.043
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,290.37,0.4242,0.77,0.56,0.2836,29,55,84,4.443
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,292.01,0.4545,0.72,0.564,0.2985,47,47,94,4.554
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,292.01,0.4545,0.72,0.564,0.2836,35,71,106,4.673
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,291.19,0.4394,0.77,0.572,0.2985,40,70,110,4.71
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,290.37,0.4242,0.82,0.58,0.2985,41,52,93,4.543
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,291.19,0.4394,0.82,0.592,0.2836,15,52,67,4.22
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,290.37,0.4242,0.88,0.604,0.2537,9,26,35,3.584
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,290.37,0.4242,0.88,0.604,0.2537,6,31,37,3.638
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,289.55,0.4091,0.87,0.588,0.2537,11,25,36,3.611
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,289.55,0.4091,0.87,0.588,0.194,3,31,34,3.555
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,289.55,0.4091,0.94,0.616,0.2239,11,17,28,3.367
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,292.01,0.4545,0.88,0.628,0.2985,15,24,39,3.689
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,292.01,0.4545,0.88,0.628,0.2985,4,13,17,2.89
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,291.19,0.4394,0.94,0.64,0.2537,1,16,17,2.89
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,290.37,0.4242,1.0,0.652,0.2836,1,8,9,2.303
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,292.01,0.4545,0.94,0.652,0.194,2,4,6,1.946
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,292.01,0.4545,0.94,0.652,0.194,2,1,3,1.386
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,290.37,0.4242,0.77,0.56,0.2985,0,2,2,1.099
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,289.55,0.4091,0.76,0.544,0.194,0,1,1,0.693
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,289.55,0.4091,0.71,0.524,0.2239,0,8,8,2.197
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,288.73,0.3939,0.76,0.532,0.2239,1,19,20,3.045
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,287.91,0.3485,0.81,0.54,0.2239,7,46,53,3.989
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,287.91,0.3333,0.71,0.5,0.2537,16,54,70,4.263
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,287.91,0.3333,0.66,0.48,0.2985,20,73,93,4.543
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,287.91,0.3485,0.66,0.48,0.1343,11,64,75,4.331
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,287.91,0.3485,0.76,0.52,0.194,4,55,59,4.094
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,287.09,0.3333,0.81,0.528,0.1642,19,55,74,4.317
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,287.09,0.3333,0.71,0.488,0.1642,9,67,76,4.344
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,287.09,0.3333,0.57,0.432,0.194,7,58,65,4.19
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,287.91,0.3333,0.46,0.4,0.3284,10,43,53,3.989
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,286.27,0.2879,0.42,0.36,0.4478,1,29,30,3.434
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,285.45,0.2727,0.39,0.336,0.3582,5,17,22,3.135
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,283.81,0.2273,0.44,0.332,0.3284,11,20,31,3.466
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,282.99,0.2121,0.44,0.32,0.2985,0,9,9,2.303
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,282.17,0.2273,0.47,0.32,0.1642,0,8,8,2.197
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,282.17,0.197,0.44,0.308,0.3582,0,5,5,1.792
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,281.35,0.1667,0.44,0.296,0.4179,0,2,2,1.099
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,279.71,0.1364,0.47,0.284,0.3881,0,1,1,0.693
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,279.71,0.1364,0.47,0.284,0.2836,0,3,3,1.386
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,278.89,0.1061,0.5,0.284,0.3881,0,30,30,3.434
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,278.89,0.1364,0.5,0.284,0.194,1,63,64,4.174
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,278.89,0.1212,0.5,0.284,0.2836,1,153,154,5.043
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,279.71,0.1364,0.43,0.268,0.3881,7,81,88,4.489
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,280.53,0.1667,0.43,0.28,0.2537,11,33,44,3.807
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,281.35,0.1818,0.4,0.28,0.3284,10,41,51,3.951
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,282.17,0.2121,0.35,0.272,0.2985,13,48,61,4.127
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,282.99,0.2121,0.35,0.284,0.2836,8,53,61,4.127
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,283.81,0.2424,0.3,0.276,0.2836,11,66,77,4.357
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,283.81,0.2424,0.3,0.276,0.2537,14,58,72,4.29
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,283.81,0.2424,0.3,0.276,0.2537,9,67,76,4.344
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,282.99,0.2273,0.3,0.264,0.2239,11,146,157,5.063
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,282.99,0.2576,0.32,0.272,0.1045,9,148,157,5.063
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,281.35,0.2576,0.47,0.308,0.0,8,102,110,4.71
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,281.35,0.2273,0.47,0.308,0.1045,3,49,52,3.97
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,280.53,0.197,0.64,0.364,0.1343,3,49,52,3.97
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,278.89,0.1515,0.69,0.36,0.1343,0,20,20,3.045
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,280.53,0.2121,0.55,0.328,0.1045,1,11,12,2.565
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,279.71,0.1818,0.55,0.316,0.1045,0,5,5,1.792
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,279.71,0.1818,0.59,0.332,0.1045,0,2,2,1.099
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,278.89,0.1515,0.63,0.336,0.1343,0,1,1,0.693
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,278.89,0.1818,0.63,0.336,0.0896,0,2,2,1.099
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,278.07,0.1515,0.68,0.344,0.1045,0,4,4,1.609
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,278.07,0.1515,0.74,0.368,0.1045,0,36,36,3.611
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,278.07,0.1515,0.74,0.368,0.1343,2,92,94,4.554
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,278.89,0.1515,0.69,0.36,0.1642,2,177,179,5.193
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,279.71,0.1515,0.64,0.352,0.2239,2,98,100,4.615
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,279.71,0.1364,0.69,0.372,0.3284,5,37,42,3.761
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,282.17,0.2121,0.51,0.336,0.2985,7,50,57,4.06
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,282.17,0.2273,0.51,0.336,0.1642,12,66,78,4.369
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,282.99,0.2273,0.56,0.368,0.194,18,79,97,4.585
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,283.81,0.2576,0.52,0.364,0.2239,9,54,63,4.159
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,284.63,0.2727,0.52,0.376,0.2537,17,48,65,4.19
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,285.45,0.2879,0.49,0.376,0.2537,15,68,83,4.431
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,284.63,0.2727,0.48,0.36,0.2239,10,202,212,5.361
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,283.81,0.2576,0.48,0.348,0.194,3,179,182,5.209
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,282.99,0.2576,0.48,0.336,0.1045,2,110,112,4.727
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,282.99,0.2576,0.48,0.336,0.1045,1,53,54,4.007
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,282.17,0.2727,0.64,0.388,0.0,0,48,48,3.892
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,282.17,0.2576,0.64,0.388,0.0896,1,34,35,3.584
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,281.35,0.2273,0.69,0.396,0.0896,2,9,11,2.485
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,281.35,0.2576,0.64,0.376,0.0,0,6,6,1.946
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,279.71,0.197,0.74,0.392,0.0896,0,6,6,1.946
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,279.71,0.197,0.74,0.392,0.0896,0,2,2,1.099
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,282.99,0.2273,0.48,0.336,0.2239,0,2,2,1.099
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,282.17,0.2273,0.47,0.32,0.1642,0,3,3,1.386
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,281.35,0.197,0.47,0.308,0.2239,0,33,33,3.526
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,280.53,0.1818,0.43,0.28,0.194,1,87,88,4.489
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,281.35,0.1818,0.4,0.28,0.2985,3,192,195,5.278
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,282.17,0.197,0.37,0.28,0.3284,6,109,115,4.754
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,282.17,0.197,0.37,0.28,0.3284,4,53,57,4.06
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,283.81,0.2273,0.33,0.288,0.3284,12,34,46,3.85
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,283.81,0.2273,0.33,0.288,0.3284,5,74,79,4.382
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,284.63,0.2576,0.3,0.288,0.2985,6,65,71,4.277
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,285.45,0.2879,0.28,0.292,0.194,10,52,62,4.143
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,285.45,0.2879,0.28,0.292,0.194,7,55,62,4.143
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,285.45,0.3182,0.28,0.292,0.0896,4,85,89,4.5
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,282.99,0.2273,0.38,0.296,0.194,4,186,190,5.252
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,282.99,0.2424,0.38,0.296,0.1343,3,166,169,5.136
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,282.99,0.2576,0.38,0.296,0.1045,5,127,132,4.89
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,282.17,0.2273,0.47,0.32,0.1642,7,82,89,4.5
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,281.35,0.197,0.51,0.324,0.194,3,40,43,3.784
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,280.53,0.197,0.55,0.328,0.1343,1,41,42,3.761
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,281.35,0.2576,0.47,0.308,0.0,1,18,19,2.996
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,280.53,0.2424,0.55,0.328,0.0,0,11,11,2.485
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,279.71,0.2273,0.64,0.352,0.0,0,4,4,1.609
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,279.71,0.2273,0.64,0.352,0.0,0,2,2,1.099
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,279.71,0.197,0.64,0.352,0.0896,0,1,1,0.693
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,278.89,0.1818,0.69,0.36,0.0896,0,4,4,1.609
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,278.89,0.1667,0.63,0.336,0.1045,0,36,36,3.611
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,279.71,0.2273,0.59,0.332,0.0,0,95,95,4.564
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,279.71,0.2273,0.59,0.332,0.0,3,216,219,5.394
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,280.53,0.2424,0.51,0.312,0.0,6,116,122,4.812
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,281.35,0.2576,0.47,0.308,0.0,3,42,45,3.829
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,282.17,0.2576,0.44,0.308,0.0896,2,57,59,4.094
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,283.81,0.2879,0.35,0.296,0.0,6,78,84,4.443
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,283.81,0.2727,0.35,0.296,0.1045,12,55,67,4.22
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,284.63,0.2727,0.36,0.312,0.1642,11,59,70,4.263
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,284.63,0.2727,0.36,0.312,0.0,8,54,62,4.143
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,283.81,0.2576,0.38,0.308,0.1642,12,74,86,4.466
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,282.17,0.2273,0.51,0.336,0.1642,9,163,172,5.153
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,282.17,0.2273,0.51,0.336,0.1343,5,158,163,5.1
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,282.17,0.2576,0.55,0.352,0.0896,3,109,112,4.727
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,281.35,0.2121,0.51,0.324,0.1642,3,66,69,4.248
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,282.17,0.2121,0.55,0.352,0.2239,0,48,48,3.892
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,282.17,0.2121,0.51,0.336,0.2836,1,51,52,3.97
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,281.35,0.197,0.59,0.356,0.194,4,19,23,3.178
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,281.35,0.197,0.64,0.376,0.194,4,13,17,2.89
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,281.35,0.197,0.69,0.396,0.2239,2,5,7,2.079
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,281.35,0.197,0.69,0.396,0.2239,0,1,1,0.693
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,281.35,0.2121,0.69,0.396,0.1343,0,1,1,0.693
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,282.17,0.2727,0.55,0.352,0.0,0,5,5,1.792
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,281.35,0.2576,0.69,0.396,0.0,8,26,34,3.555
